B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CN(C)C=O,3007,DMF,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CN(C)C=O,3007,DMF,2.5
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,4008,CN(C)C=O,3007,DMF,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,4008,CN(C)C=O,3007,DMF,2.5
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,2.5
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CN(C)C=O,3007,DMF,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CN(C)C=O,3007,DMF,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CN(C)C=O,3007,DMF,2.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CN(C)C=O,3007,DMF,1.5
CN(C)c1cc[n+]([BH-]c2ccccc2)cc1,8,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CN(C)C=O,3007,DMF,3.0
